20,4,100,0.0612805,2502.82,0.055184,0.066808,10/10 ,0.126924,0.00241,0.426273,2502.13,2501.98,10/10 ,0.117177,0.00195,0.263808,2483.14,2483.01,10/10,0.809184
20,10,100,0.133273,2788.51,0.117564,0.17908,10/10 ,0.980718,0.030647,5.95157,2788.15,2787.95,10/10 ,1.65397,0.024133,8.8948,2766.15,2765.94,10/10,0.814902
20,4,1000,2.41658,2159.9,2.37359,2.52426,10/10 ,0.254344,0.002318,1.50613,2159.08,2159.06,10/10 ,0.205417,0.001798,1.36473,2141.12,2141.1,10/10,0.927041
20,10,1000,5.42621,2446.39,5.34888,5.53237,10/10 ,0.656312,0.002135,3.29003,2445.73,2445.68,10/10 ,5.79324,0.002048,56.3869,2426.26,2426.19,10/10,0.828942
20,4,10000,-nan,-nan,1e+06,0,0/10 ,0.195521,0.002344,1.62298,2117.12,2117.1,10/10 ,0.17635,0.00202,1.73651,2100.62,2100.62,10/10,-nan
20,10,10000,-nan,-nan,1e+06,0,0/10 ,0.715177,0.002909,3.29883,2429.73,2429.68,10/10 ,6.16299,0.002522,59.6048,2410.26,2410.19,10/10,-nan
100,4,100,1.59788,9732.37,1.48259,1.67291,10/10 ,271.738,3.5681,301.993,9730.84,9500.57,1/10 ,272.786,12.8653,302.243,9659.8,9396.16,1/10,0.660007
100,10,100,3.26264,11479.7,3.14548,3.43572,10/10 ,271.719,8.45769,301.596,11481.3,11319,1/10 ,241.505,0.249302,301.785,11365.4,11195.1,2/10,1.03749
100,4,1000,89.2593,7729.71,83.4688,103.873,10/10 ,57.7258,0.059977,300.001,7728.18,7726.93,9/10 ,81.1755,0.065126,300.597,7651.76,7649.19,8/10,1.01244
100,10,1000,180.384,10198.8,170.189,187.345,10/10 ,211.089,0.72914,301.303,10198,10183.1,3/10 ,152.309,0.031002,301.106,10086.2,10076,5/10,1.13636
100,4,10000,-nan,-nan,1e+06,0,0/10 ,44.8214,0.005078,300.002,7447.12,7446.29,9/10 ,60.0568,0.005242,300.297,7373.26,7371.15,8/10,-nan
100,10,10000,-nan,-nan,1e+06,0,0/10 ,180.335,0.007798,301.056,10005.9,10001.9,4/10 ,120.345,0.008903,301.311,9899.4,9891.29,6/10,-nan
500,4,100,45.0194,61676.7,40.0149,75.6903,10/10 ,300.59,300.368,300.837,61725.9,61115.7,0/10 ,300.664,300.58,300.723,61507,60551.1,0/10,0.347281
500,10,100,83.6231,56813.7,81.2586,86.2498,10/10 ,300.469,300.285,300.814,56981.7,56170.9,0/10 ,300.487,300.435,300.542,56611.9,55603.9,0/10,0.434263
500,4,1000,-nan,-nan,1e+06,0,0/10 ,210.553,0.338708,300.958,58604,58539.6,3/10 ,210.386,0.148187,301.093,58067.7,57986,3/10,-nan
500,10,1000,-nan,-nan,1e+06,0,0/10 ,240.869,0.682668,300.454,52721.3,52640.5,2/10 ,270.35,0.845224,300.424,52193.8,52087.5,1/10,-nan

